City,Pop1,Pop2,Pop3,U1,U2,U3
Aberdeen village,"1,638","1,638","1,639","1,632",,,
Ada village,"5,952","5,952","5,957","5,947",,,
Adamsville village,114,114,114,113,,,
Addyston village,938,938,938,935,,,
Adelphi village,380,380,380,381,,,
Adena village,759,759,759,750,,,
Akron city,"199,110","199,110","199,005","198,402",,,
Albany village,828,828,828,829,,,
Alexandria village,517,517,517,519,,,
Alger village,860,860,862,859,,,
Alliance city,"22,322","22,322","22,312","22,294",,,
Amanda village,737,737,737,742,,,
Amberley village,"3,585","3,585","3,583","3,576",,,
Amelia village,"4,801","4,801","4,809","4,844",,,
Amesville village,154,154,154,154,,,
Amherst city,"12,021","12,021","12,029","12,031",,,
Amsterdam village,511,511,511,505,,,
Andover village,"1,145","1,145","1,145","1,144",,,
Anna village,"1,567","1,567","1,565","1,562",,,
Ansonia village,"1,174","1,174","1,175","1,172",,,
Antioch village,86,86,86,86,,,
Antwerp village,"1,736","1,736","1,733","1,718",,,
Apple Creek village,"1,173","1,173","1,173","1,173",,,
Aquilla village,340,340,340,341,,,
Arcadia village,590,590,590,594,,,
Arcanum village,"2,129","2,129","2,132","2,123",,,
Archbold village,"4,346","4,346","4,344","4,327",,,
Arlington village,"1,455","1,455","1,453","1,460",,,
Arlington Heights village,745,745,745,742,,,
Ashland city,"20,362","20,362","20,367","20,367",,,
Ashley village,"1,330","1,330","1,338","1,362",,,
Ashtabula city,"19,124","19,124","19,116","19,096",,,
Ashville village,"4,097","4,097","4,106","4,120",,,
Athalia village,373,373,373,374,,,
Athens city,"23,832","23,832","23,837","23,835",,,
Attica village,899,899,898,894,,,
Aurora city,"15,548","15,548","15,543","15,568",,,
Avon city,"21,193","21,191","21,203","21,210",,,
Avon Lake city,"22,581","22,581","22,593","22,602",,,
Bailey Lakes village,371,371,371,372,,,
Bainbridge village,860,860,860,863,,,
Bairdstown village,130,130,130,131,,,
Baltic village,795,795,795,794,,,
Baltimore village,"2,966","2,966","2,971","2,985",,,
Barberton city,"26,550","26,550","26,535","26,455",,,
Barnesville village,"4,193","4,193","4,189","4,178",,,
Barnhill village,396,396,396,395,,,
Batavia village,"1,509","1,509","1,512","1,524",,,
Batesville village,71,71,71,71,,,
Bay View village,632,632,632,630,,,
Bay Village city,"15,651","15,651","15,625","15,528",,,
Beach City village,"1,033","1,033","1,032","1,031",,,
Beachwood city,"11,953","11,953","11,934","11,867",,,
Beallsville village,409,409,408,407,,,
Beaver village,449,449,449,448,,,
Beavercreek city,"45,193","45,193","45,203","45,566",,,
Beaverdam village,382,382,382,382,,,
Bedford city,"13,074","13,074","13,052","12,972",,,
Bedford Heights city,"10,751","10,751","10,732","10,666",,,
Bellaire village,"4,278","4,279","4,277","4,262",,,
Bellbrook city,"6,943","6,943","6,944","7,001",,,
Belle Center village,813,813,812,811,,,
Bellefontaine city,"13,370","13,370","13,355","13,322",,,
Belle Valley village,223,223,223,224,,,
Bellevue city,"8,202","8,202","8,197","8,180",,,
Bellville village,"1,918","1,918","1,913","1,903",,,
Belmont village,453,452,452,450,,,
Belmore village,143,143,143,142,,,
Beloit village,978,978,977,971,,,
Belpre city,"6,441","6,441","6,434","6,439",,,
Bentleyville village,864,864,863,856,,,
Benton Ridge village,299,299,299,299,,,
Berea city,"19,093","19,093","19,065","18,960",,,
Bergholz village,664,664,664,655,,,
Berkey village,237,237,237,236,,,
Berlin Heights village,714,714,714,711,,,
Bethel village,"2,711","2,711","2,718","2,735",,,
Bethesda village,"1,256","1,256","1,255","1,252",,,
Bettsville village,661,661,660,657,,,
Beverly village,"1,313","1,313","1,312","1,312",,,
Bexley city,"13,057","13,057","13,082","13,221",,,
Blakeslee village,96,96,96,96,,,
Blanchester village,"4,243","4,243","4,228","4,231",,,
Bloomdale village,678,678,678,682,,,
Bloomingburg village,938,938,939,937,,,
Bloomingdale village,202,202,202,200,,,
Bloomville village,956,956,955,951,,,
Blue Ash city,"12,114","12,114","12,108","12,083",,,
Bluffton village,"4,125","4,125","4,121","4,120",,,
Bolivar village,994,994,994,994,,,
Boston Heights village,"1,300","1,300","1,299","1,297",,,
Botkins village,"1,155","1,155","1,153","1,152",,,
Bowerston village,398,398,398,399,,,
Bowersville village,312,312,312,316,,,
Bowling Green city,"30,028","30,043","30,052","30,221",,,
Bradford village,"1,842","1,842","1,843","1,844",,,
Bradner village,985,985,985,991,,,
Brady Lake village,464,464,464,465,,,
Bratenahl village,"1,197","1,197","1,195","1,188",,,
Brecksville city,"13,656","13,659","13,636","13,555",,,
Bremen village,"1,425","1,425","1,428","1,435",,,
Brewster village,"2,112","2,112","2,111","2,108",,,
Brice village,114,114,114,115,,,
Bridgeport village,"1,831","1,831","1,829","1,824",,,
Broadview Heights city,"19,400","19,397","19,363","19,247",,,
Brooklyn city,"11,169","11,169","11,149","11,082",,,
Brooklyn Heights village,"1,543","1,543","1,541","1,531",,,
Brook Park city,"19,212","19,212","19,181","19,063",,,
Brookside village,632,632,631,629,,,
Brookville city,"5,884","5,884","5,893","5,910",,,
Broughton village,120,120,120,119,,,
Brunswick city,"34,255","34,255","34,304","34,441",,,
Bryan city,"8,545","8,545","8,523","8,534",,,
Buchtel village,558,558,558,557,,,
Buckeye Lake village,"2,746","2,746","2,750","2,759",,,
Buckland village,233,233,233,233,,,
Bucyrus city,"12,362","12,362","12,353","12,253",,,
Burbank village,207,207,207,207,,,
Burgoon village,172,172,172,172,,,
Burkettsville village,244,244,244,245,,,
Burton village,"1,455","1,455","1,454","1,453",,,
Butler village,933,938,937,930,,,
Butlerville village,163,163,163,165,,,
Byesville village,"2,438","2,438","2,435","2,427",,,
Cadiz village,"3,353","3,353","3,351","3,349",,,
Cairo village,524,524,524,522,,,
Caldwell village,"1,748","1,748","1,750","1,754",,,
